brand,price,cpu_score,gpu_score,ram_score,storage_score
ASUS,0.15976193370779557,0.08593644136657375,0.9520986736024526,0.04082421125583968,0.481303479778191
Acer,0.0,0.0,0.9182314124778739,0.0,0.0
Apple,1.0,1.0,0.0,1.0,0.3778629790103807
Dell,0.2291936776025918,0.12928002316559173,0.946698187447393,0.04877186821533108,0.5711153855475573
Gigabyte,0.194405164322756,0.4922719618258249,0.9999999999999998,0.13365977981918986,0.9817770658323894
HP,0.16804052028349448,0.29624737012972346,0.9714687498981325,0.085501053765761,0.6187402620255966
Lenovo,0.19750087477490563,0.16101088910883732,0.9469591812224929,0.04402267111316016,0.8227292979649476
MSI,0.26146971083804926,0.18658882881704741,0.9422168407276719,0.005642683023160178,0.8847700353635162
Razer,0.569018334559459,0.033819368361843516,0.9403799929478065,0.015229268252390238,1.0
Samsung,0.30269433478954966,0.12197971356996007,0.9336074852125129,0.008486756266552486,0.9141435533152347
